TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,3,4,8,3.500000e+00,2,1.0,0.0,4.28037,999.0,999.0,7.28093,999.0,0.0,0.0,7.2951,12.5314,999.0,999.0,994.72,14.5629,18.531
2,2,0,2,8,8,2,0,1.0,1.0,18.7656,999.0,999.0,21.7761,999.0,0.0,0.0,21.7912,25.5148,999.0,999.0,980.234,27.5306,35.5142
3,3,1,1,4,0,5.000000e-01,8,1.0,2.0,35.5445,999.0,999.0,38.5568,999.0,0.0,0.0,38.5712,40.795,999.0,999.0,963.456,42.8108,46.7945
4,4,1,2,2,2,5.000000e-01,4,1.0,3.0,47.0177,999.0,999.0,50.0327,999.0,0.0,0.0,50.0475,52.2629,999.0,999.0,951.982,54.2787,56.2783
5,5,1,1,2,2,5.000000e-01,4,1.0,4.0,56.2868,999.0,999.0,59.29,999.0,0.0,0.0,59.3044,61.5279,999.0,999.0,942.713,63.5436,65.5432
6,6,1,2,2,8,3.500000e+00,2,1.0,5.0,65.8067,999.0,999.0,68.8146,999.0,0.0,0.0,68.8283,74.0583,999.0,999.0,933.193,76.074,78.058
7,7,1,3,4,0,5.000000e-01,2,1.0,6.0,78.3082,999.0,999.0,81.3081,999.0,0.0,0.0,81.322,83.5576,999.0,999.0,920.692,85.5733,89.5571
8,8,1,3,6,4,5.000000e-01,2,1.0,7.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,1,2,2,0,5.000000e-01,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,0,1,8,2,5.000000e-01,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,0,3,6,2,5.000000e-01,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,0,2,2,0,5.000000e-01,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,0,1,2,8,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,0,3,2,8,5.000000e-01,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,1,3,6,4,3.500000e+00,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,0,2,4,0,3.500000e+00,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,1,2,4,4,5.000000e-01,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,1,3,2,8,2,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,0,2,4,2,5.000000e-01,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,1,3,2,8,2,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,1,1,2,8,2,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,0,3,2,2,3.500000e+00,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,1,2,4,4,5.000000e-01,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,0,1,4,4,5.000000e-01,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,0,1,2,2,5.000000e-01,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,0,3,6,4,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,0,1,4,0,2,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,0,1,2,2,5.000000e-01,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,1,1,4,8,5.000000e-01,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,0,2,2,4,5.000000e-01,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,3,2,0,3.500000e+00,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,1,1,2,0,5.000000e-01,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,1,1,2,4,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,0,2,6,8,2,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,0,3,2,0,5.000000e-01,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,1,2,8,8,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
